"CompanyName","NumOrders"
IT,335
B's Beverages,210
Ricardo Adocicados,203
LILA-Supermercado,203
Gourmet Lanchonetes,202
Princesa Isabel Vinhos,200
Hungry Coyote Import Store,198
Tortuga Restaurante,197
Folies gourmandes,195
Ana Trujillo Emparedados y helados,195
Rancho grande,194
Let's Stop N Shop,191
Save-a-lot Markets,190
Victuailles en stock,188
Tradição Hipermercados,188
Spécialités du monde,188
France restauration,187
Ernst Handel,187
Wellington Importadora,185
Queen Cozinha,185
La maison d'Asie,185
Island Trading,185
Bottom-Dollar Markets,185
Franchi S.p.A.,184
White Clover Markets,183
QUICK-Stop,183
Chop-suey Chinese,183
Hungry Owl All-Night Grocers,182
Bólido Comidas preparadas,182
Hanari Carnes,180
Consolidated Holdings,180
Comércio Mineiro,179
Morgenstern Gesundkost,178
HILARION-Abastos,178
Berglunds snabbköp,178
Wolski  Zajazd,177
Piccolo und mehr,177
Ottilies Käseladen,177
LINO-Delicateses,177
Königlich Essen,177
Great Lakes Food Market,177
Romero y tomillo,176
Old World Delicatessen,176
Drachenblut Delikatessen,176
Richter Supermarkt,175
Mère Paillarde,175
Magazzini Alimentari Riuniti,175
Folk och fä HB,175
Die Wandernde Kuh,175
Toms Spezialitäten,174
Rattlesnake Canyon Grocery,174
Centro comercial Moctezuma,174
Godos Cocina Típica,173
Vaffeljernet,171
North/South,170
Wilman Kala,169
Suprêmes délices,169
Split Rail Beer & Ale,169
Que Delícia,169
Pericles Comidas clásicas,169
The Cracker Box,168
Seven Seas Imports,168
GROSELLA-Restaurante,168
Familia Arquibaldo,168
Cactus Comidas para llevar,168
Lazy K Kountry Store,167
Bon app',167
Lonesome Pine Restaurant,166
Lehmanns Marktstand,166
Eastern Connection,165
Blondesddsl père et fils,165
The Big Cheese,164
Blauer See Delikatessen,164
Galería del gastrónomo,163
Antonio Moreno Taquería,163
Alfreds Futterkiste,163
Wartian Herkku,162
Maison Dewey,162
Frankenversand,162
Simons bistro,161
Paris spécialités,161
Reggiani Caseifici,160
Laughing Bacchus Wine Cellars,160
Du monde entier,160
Santé Gourmet,159
Vins et alcools Chevalier,158
Trail's Head Gourmet Provisioners,157
Around the Horn,156
La corne d'abondance,155
Furia Bacalhau e Frutos do Mar,155
FISSA Fabrica Inter. Salchichas S.A.,155
Océano Atlántico Ltda.,154
