"CompanyName","TotalRevenue"
IT,9745371.29
B's Beverages,6154115.34
Hungry Coyote Import Store,5698023.67
Rancho grande,5559110.08
Gourmet Lanchonetes,5552597.9
Ana Trujillo Emparedados y helados,5534356.65
Ricardo Adocicados,5524990.91
Folies gourmandes,5505502.85
Let's Stop N Shop,5462611.57
LILA-Supermercado,5439186.8
Princesa Isabel Vinhos,5437042.71
Bólido Comidas preparadas,5399129.39
Piccolo und mehr,5369557.36
Morgenstern Gesundkost,5349089.59
Wellington Importadora,5334320.19
Spécialités du monde,5298269.65
Tortuga Restaurante,5278083.97
Victuailles en stock,5277440.73
France restauration,5180799.4
Hanari Carnes,5099201.34
Tradição Hipermercados,5087551.37
Pericles Comidas clásicas,5071822.53
Bottom-Dollar Markets,5066008.44
Queen Cozinha,5064050.46
The Cracker Box,4997732.41
Comércio Mineiro,4992489.53
Chop-suey Chinese,4989696.41
QUICK-Stop,4946181.57
Franchi S.p.A.,4943582.11
Lazy K Kountry Store,4942067.56
Vaffeljernet,4941680.66
Consolidated Holdings,4931207.19
Ottilies Käseladen,4911884.7
Great Lakes Food Market,4902013.69
Familia Arquibaldo,4896111.77
Island Trading,4885549.18
Mère Paillarde,4880810.49
Die Wandernde Kuh,4855841.05
HILARION-Abastos,4842167.23
Berglunds snabbköp,4835439.1
Richter Supermarkt,4834918.97
Magazzini Alimentari Riuniti,4834337.09
The Big Cheese,4830860.98
Maison Dewey,4816523.83
Old World Delicatessen,4810406.2
Paris spécialités,4805987.65
Romero y tomillo,4782770.28
Drachenblut Delikatessen,4779289.01
Simons bistro,4768815.29
Seven Seas Imports,4750795.94
Toms Spezialitäten,4745253.96
Hungry Owl All-Night Grocers,4739619.77
Wolski  Zajazd,4738465.22
Bon app',4727572.9
FISSA Fabrica Inter. Salchichas S.A.,4719540.2
Blondesddsl père et fils,4706532.06
Santé Gourmet,4691250.64
Rattlesnake Canyon Grocery,4688963.11
La maison d'Asie,4676636.64
White Clover Markets,4664417.78
GROSELLA-Restaurante,4649039.29
Wilman Kala,4635588.03
Godos Cocina Típica,4623182.17
Königlich Essen,4622011.27
Cactus Comidas para llevar,4615377.63
Suprêmes délices,4610546.73
Centro comercial Moctezuma,4606245.25
La corne d'abondance,4580281.87
Eastern Connection,4578251.02
Wartian Herkku,4575387.16
Ernst Handel,4550219.57
Save-a-lot Markets,4531376.69
Split Rail Beer & Ale,4500398.94
Galería del gastrónomo,4500324.9
LINO-Delicateses,4498522.91
Folk och fä HB,4469288.61
Frankenversand,4437000.71
Blauer See Delikatessen,4411617.75
North/South,4408743.86
Vins et alcools Chevalier,4332214.28
Antonio Moreno Taquería,4312265.41
Lonesome Pine Restaurant,4298854.65
Trail's Head Gourmet Provisioners,4291819.96
Laughing Bacchus Wine Cellars,4259986.34
Que Delícia,4258508.51
Around the Horn,4252237.47
Du monde entier,4236208.17
Reggiani Caseifici,4223749.03
Lehmanns Marktstand,4186165.06
Furia Bacalhau e Frutos do Mar,4099371.92
Océano Atlántico Ltda.,4059079.05
Alfreds Futterkiste,3965788.15
